Parameter,Value,Unit
Case,Case 1: Busan Port with Storage,
Case_ID,case_1,
Simulation_Year,2030,
Shuttle_Size_cbm,2500,m³
Pump_Size_m3ph,2000,m³/h
,,
=== SINGLE ROUND-TRIP BREAKDOWN ===,,
Shore_Loading_Hours,1.6666666666666667,hours
Travel_Outbound_Hours,1.0,hours
Port_Entry_Hours,0.0,hours
Setup_Inbound_Hours,1.0,hours
Pumping_Per_Vessel_Hours,1.25,hours
Setup_Outbound_Hours,1.0,hours
Travel_Return_Hours,1.0,hours
Port_Exit_Hours,0.0,hours
Total_Cycle_Duration_Hours,6.916666666666667,hours
Annual_Cycles_Max_Per_Shuttle,1156.6265060240964,cycles
,,
=== ANNUAL OPERATION PARAMETERS ===,,
Vessels_in_Year,50,vessels
Annual_Demand_m3,3000000.0,m³
Bunker_per_Call_m3,5000.0,m³
Required_Annual_Calls,600.0,calls
,,
=== FLEET REQUIREMENTS ===,,
Annual_Bunkering_Calls,600.0,calls
Trips_Per_Call_or_Vessels_Per_Trip,2.0,trips/call or vessels/trip
Total_Shuttle_Trips,1200.0,trips
Total_Hours_Needed,8300.0,hours
Annual_Hours_Max_Per_Shuttle,8000.0,hours/vessel
Required_Shuttles,2,vessels
Available_Hours_Total,16000.0,hours
Utilization_Rate,0.51875,%
Annual_Cycles_Per_Shuttle,600.0,trips
,,
=== COST BREAKDOWN ===,,
CAPEX_Shuttle_USDm,15.375,$M
CAPEX_Bunkering_USDm,1.73109126984127,$M
CAPEX_Tank_USDm,0.0,$M
CAPEX_Total_USDm,17.10609126984127,$M
,,
OPEX_Fixed_USDm,0.8553045634920634,$M/year
OPEX_Variable_USDm,0.5102379542857143,$M/year
OPEX_Total_USDm,1.3655425177777778,$M/year
,,
First_Year_Cost_USDm,18.471633787619048,$M
